participant;condition;order;event;timestamp;x_filtered;y_filtered;x_filtered_norm;y_filtered_norm;x_raw_norm;y_raw_norm;AOI;x_target;y_target;x_raw;y_raw;x_filtered_distance;y_filtered_distance;x_raw_distance;y_raw_distance;filtered_euclidean;raw_euclidean
6;uniteye;1;1;1699274386960;350.0;233.0;0.1826213;0.216383;0.1331249;0.2190561;;110;90;255.599808;236.580588;240.0;143.0;145.599808;146.580588;279.3725111745964;206.60390332242665
6;uniteye;1;1;1699274386993;349.0;233.0;0.1819381;0.2163973;0.124197;0.2198736;;110;90;238.45824;237.463488;239.0;143.0;128.45824;147.463488;278.5139134765084;195.5684016323285
6;uniteye;1;1;1699274387028;346.0;233.0;0.1806248;0.2163301;0.1369277;0.2045719;;110;90;262.901184;220.937652;236.0;143.0;152.901184;130.937652;275.94383486499567;201.30434863627502
6;uniteye;1;1;1699274387062;346.0;232.0;0.1803126;0.2156391;0.1383299;0.1833574;;110;90;265.593408;198.025992;236.0;142.0;155.593408;108.025992;275.42694131112154;189.41732645309546
6;uniteye;1;1;1699274387093;345.0;232.0;0.1798576;0.2151778;0.1373387;0.1933732;;110;90;263.690304;208.843056;235.0;142.0;153.69030400000003;118.84305599999999;274.57057380571575;194.2791329583071
6;uniteye;1;1;1699274387127;344.0;232.0;0.1793356;0.2150518;0.128052;0.2209966;;110;90;245.85984;238.67632799999998;234.0;142.0;135.85984;148.67632799999998;273.7151804339686;201.4014563810033
6;uniteye;1;1;1699274387161;343.0;232.0;0.178855;0.2150062;0.1314552;0.1941677;;110;90;252.393984;209.70111599999998;233.0;142.0;142.393984;119.70111599999998;272.8607703573381;186.02258962566268
6;uniteye;1;1;1699274387193;342.0;231.0;0.1784034;0.2146268;0.1417318;0.1858835;;110;90;272.125056;200.75418000000002;232.0;141.0;162.12505599999997;110.75418000000002;271.48664792214;196.3441421852853
6;uniteye;1;1;1699274387227;341.0;231.0;0.177832;0.2142658;0.1391513;0.2162694;;110;90;267.170496;233.570952;231.0;141.0;157.170496;143.570952;270.6325922722539;212.87363169512642
6;uniteye;1;1;1699274387259;341.0;231.0;0.1777058;0.2146163;0.1356405;0.2147169;;110;90;260.42976;231.894252;231.0;141.0;150.42976;141.894252;270.6325922722539;206.7923872977366
6;uniteye;1;1;1699274387293;339.0;231.0;0.1770732;0.2141335;0.1306341;0.2323191;;110;90;250.817472;250.904628;229.0;141.0;140.817472;160.904628;268.9274995235705;213.82202817364063
6;uniteye;1;1;1699274387328;338.0;231.0;0.1762407;0.2144116;0.1272627;0.2194832;;110;90;244.34438400000002;237.041856;228.0;141.0;134.34438400000002;147.041856;268.07648162418127;199.17259080572356
6;uniteye;1;1;1699274387361;337.0;231.0;0.1757307;0.2143995;0.1305129;0.2213987;;110;90;250.58476799999997;239.11059600000002;227.0;141.0;140.58476799999997;149.11059600000002;267.22649569232465;204.9342500244628
6;uniteye;1;1;1699274387393;337.0;231.0;0.1755313;0.2140294;0.1378787;0.186233;;110;90;264.727104;201.13164;227.0;141.0;154.727104;111.13164;267.22649569232465;190.50122866091024
6;uniteye;1;1;1699274387428;336.0;229.0;0.1750957;0.2128047;0.1458373;0.1739379;;110;90;280.007616;187.852932;226.0;139.0;170.00761599999998;97.85293200000001;265.32432983049256;196.1575535099275
6;uniteye;1;1;1699274387459;335.0;228.0;0.1745531;0.2112441;0.1412284;0.169372;;110;90;271.158528;182.92176;225.0;138.0;161.158528;92.92176;263.9488586828896;186.02828986104342
6;uniteye;1;1;1699274387493;334.0;227.0;0.1743553;0.2106323;0.1401794;0.2076645;;110;90;269.144448;224.27766;224.0;137.0;159.144448;134.27766;262.5737991498771;208.2245069733635
6;uniteye;1;1;1699274387527;333.0;227.0;0.1735266;0.2107674;0.1267029;0.2227729;;110;90;243.26956800000002;240.594732;223.0;137.0;133.26956800000002;150.594732;261.721225734559;201.09587529598525
6;uniteye;1;1;1699274387560;331.0;228.0;0.1728577;0.211263;0.132665;0.1994439;;110;90;254.7168;215.399412;221.0;138.0;144.7168;125.39941200000001;260.547500467765;191.48881098431247
6;uniteye;1;1;1699274387594;331.0;228.0;0.1724642;0.211261;0.1317465;0.2090888;;110;90;252.95327999999998;225.815904;221.0;138.0;142.95327999999998;135.815904;260.547500467765;197.18417797099139
6;uniteye;1;1;1699274387627;330.0;228.0;0.1722672;0.2113699;0.1373852;0.2056453;;110;90;263.779584;222.096924;220.0;138.0;153.779584;132.096924;259.6998267230843;202.72581923739963
6;uniteye;1;1;1699274387661;330.0;228.0;0.1720687;0.2113022;0.1337284;0.2250755;;110;90;256.758528;243.08154000000002;220.0;138.0;146.758528;153.08154000000002;259.6998267230843;212.06608269475436
6;uniteye;1;1;1699274387694;329.0;227.0;0.1718464;0.2110891;0.13438;0.1901504;;110;90;258.0096;205.36243199999998;219.0;137.0;148.00959999999998;115.36243199999998;258.3215051055564;187.6574869519322
6;uniteye;1;1;1699274387727;328.0;226.0;0.1712988;0.2098576;0.1446348;0.1598453;;110;90;277.698816;172.632924;218.0;136.0;167.69881600000002;82.632924;256.9435735720977;186.9521142340777
6;uniteye;1;1;1699274387761;327.0;225.0;0.1707182;0.2090605;0.1306941;0.2213729;;110;90;250.93267200000003;239.08273200000002;217.0;135.0;140.93267200000003;149.08273200000002;255.56603843233944;205.1528186929037
6;uniteye;1;1;1699274387794;327.0;226.0;0.170551;0.2095817;0.1366436;0.2337184;;110;90;262.355712;252.41587199999998;217.0;136.0;152.35571199999998;162.41587199999998;256.09568524284043;222.69076868282465
6;uniteye;1;1;1699274387827;327.0;226.0;0.1704958;0.2095006;0.1351434;0.1954263;;110;90;259.475328;211.060404;217.0;136.0;149.475328;121.060404;256.09568524284043;192.34992876876976
6;uniteye;1;1;1699274387859;326.0;226.0;0.1701329;0.2099928;0.1309514;0.2254229;;110;90;251.42668799999998;243.45673200000002;216.0;136.0;141.42668799999998;153.45673200000002;255.24889813670106;208.68750962807806
6;uniteye;1;1;1699274387893;325.0;226.0;0.169687;0.2097609;0.1429814;0.1890733;;110;90;274.524288;204.199164;215.0;136.0;164.524288;114.199164;254.40322325002094;200.27403825809736
6;uniteye;1;1;1699274387927;325.0;226.0;0.1693979;0.2094444;0.1350214;0.2021896;;110;90;259.24108800000005;218.364768;215.0;136.0;149.24108800000005;128.364768;254.40322325002094;196.85125351675458
6;uniteye;1;1;1699274387960;324.0;226.0;0.1692631;0.2093958;0.1355102;0.1976722;;110;90;260.179584;213.485976;214.0;136.0;150.17958399999998;123.485976;253.55867171130237;194.42914832680214
6;uniteye;1;1;1699274387993;324.0;226.0;0.169174;0.2094126;0.1343763;0.2178316;;110;90;258.002496;235.258128;214.0;136.0;148.002496;145.258128;253.55867171130237;207.3756556886425
6;uniteye;1;1;1699274388027;324.0;226.0;0.1688223;0.2097285;0.1343169;0.2264861;;110;90;257.888448;244.604988;214.0;136.0;147.88844799999998;154.604988;253.55867171130237;213.94788002298327
