participant;condition;order;event;timestamp;left_x;left_y;left_valid;right_x;right_y;right_valid;mean_x;mean_y;x_target;y_target;x_distance;y_distance;euclidean
1;tobii;1;1;-340795616;0.07140209;0.08543859;True;0.07762396;0.06970096;True;143.06500800000003;83.77535700000001;110;90;33.065008000000034;6.224642999999986;33.6458160031454
1;tobii;1;1;-340779685;0.07679178;0.09034156;True;0.07800296;0.07839653;True;148.6029504;91.1185686;110;90;38.6029504;1.1185686000000032;38.61915295935122
1;tobii;1;1;-340763082;0.07968898;0.09134267;True;0.07857291;0.06506015;True;151.93141440000002;84.45752279999999;110;90;41.93141440000002;5.5424772000000075;42.29612945763535
1;tobii;1;1;-340745687;0.07597478;0.09492983;True;0.07841174;0.07414137;True;148.2110592;91.298448;110;90;38.211059199999994;1.2984479999999934;38.23311408183498
1;tobii;1;1;-340729806;0.0783758;0.1020929;True;0.07645443;0.06450084;True;148.63702080000002;89.9606196;110;90;38.637020800000016;0.03938039999999887;38.637040869035744
1;tobii;1;1;-340713166;0.08091518;0.1018656;True;0.08105906;0.0579574;True;155.49527039999998;86.30442;110;90;45.49527039999998;3.6955800000000067;45.64511956721676
1;tobii;1;1;-340695771;0.0772166;0.09618965;True;0.07409304;0.06207218;True;145.2572544;85.4613882;110;90;35.257254399999994;4.538611799999998;35.54817836257462
1;tobii;1;1;-340679841;0.07400733;0.09006356;True;0.08184887;0.06676026;True;149.621952;84.6848628;110;90;39.62195199999999;5.315137199999995;39.97686535666757
1;tobii;1;1;-340663155;0.07402746;0.08639918;True;0.082923;0.063087;True;150.6724416;80.72253720000002;110;90;40.67244160000001;9.27746279999998;41.71712863693755
1;tobii;1;1;-340645852;0.0772487;0.0816685;True;0.07851649;0.05247265;True;149.5345824;72.436221;110;90;39.534582400000005;17.563778999999997;43.26048472108503
1;tobii;1;1;-340629971;0.07175715;0.09287529;True;0.07403248;0.05124095;True;139.9580448;77.8227696;110;90;29.95804480000001;12.1772304;32.33835785029122
1;tobii;1;1;-340613239;0.07345361;0.09745678;True;0.08239575;0.05728984;True;149.6153856;83.5631748;110;90;39.615385599999996;6.436825200000001;40.13491615653435
1;tobii;1;1;-340595932;0.0769803;0.09812786;True;0.08704851;0.05547526;True;157.4676576;82.9456848;110;90;47.467657599999995;7.054315200000005;47.988976661018604
1;tobii;1;1;-340580005;0.07993631;0.1016589;True;0.07918613;0.05019131;True;152.75754239999998;81.9991134;110;90;42.75754239999998;8.000886600000001;43.499673774338305
1;tobii;1;1;-340563324;0.06847886;0.1103541;True;0.07147207;0.06621722;True;134.3528928;95.34851279999998;110;90;24.352892800000006;5.34851279999998;24.933310588448855
1;tobii;1;1;-340546141;0.05451917;0.09978291;True;0.06539469;0.05546573;True;115.1173056;83.8342656;110;90;5.117305599999995;6.165734400000005;8.01268352645571
1;tobii;1;1;-340530136;0.0589962;0.0923762;True;0.06309162;0.058673;True;117.2043072;81.566568;110;90;7.204307200000002;8.433431999999996;11.091655310664672
1;tobii;1;1;-340513408;0.05897781;0.1001722;True;0.06897894;0.05525239;True;122.83848;83.9292786;110;90;12.838480000000004;6.0707213999999965;14.201416373968408
