condition;dist_x;dist_y;euclidean;sd_x;sd_y;dist_x_cm;dist_y_cm;euclidean_cm;sd_x_cm;sd_y_cm;euclidean_vd;areas_size_x;areas_size_y;areas_x;areas_y;number_of_areas
tobii;22.597374084242425;28.425217657190657;39.798871360524345;13.280549666107117;12.92829845092248;0.4070732636452182;0.5120571124061296;0.7169442074874599;0.23923827058093672;0.23289275223647588;0.6845987060992621;1.29;1.49;27;13;351
uniteye;147.60827420672175;141.71917666580495;226.0032775077726;65.62536469585864;64.68213568548983;2.6590426701069023;2.5529553810719476;4.071264715388244;1.1821874207622762;1.1651959194407389;3.881821133887564;7.68;7.44;4;3;12
uniteye_filtered;141.78885445362718;133.07139577594126;213.53873138369954;29.34557962561235;27.602975484038872;2.5542105695901633;2.3971726614956794;3.846726083082247;0.5286366826174139;0.4972450902798492;3.6683322649812258;6.17;5.79;6;3;18
