participant;condition;order;event;timestamp;left_x;left_y;left_valid;right_x;right_y;right_valid;mean_x;mean_y;x_target;y_target;x_distance;y_distance;euclidean
3;tobii;0;1;2089822949;0.04267979;0.1167311;True;0.0595709;0.04352861;True;98.1606624;86.5402434;110;90;11.839337599999993;3.4597566000000057;12.334497579472671
3;tobii;0;1;2089839507;0.03778668;0.1193425;True;0.05759151;0.04380172;True;91.5630624;88.0978788;110;90;18.436937599999993;1.9021211999999963;18.534797898163955
3;tobii;0;1;2089856800;0.04171556;0.1236623;True;0.06052158;0.03905164;True;98.1476544;87.86552760000001;110;90;11.852345600000007;2.134472399999993;12.04300911932733
3;tobii;0;1;2089872819;0.04142756;0.1174646;True;0.05855396;0.04610025;True;95.9822592;88.32501900000001;110;90;14.017740799999999;1.6749809999999883;14.117457932869698
3;tobii;0;1;2089889422;0.04434312;0.1101248;True;0.05558136;0.05668574;True;95.9275008;90.0776916;110;90;14.072499199999996;0.07769159999999431;14.072713658662677
3;tobii;0;1;2089906596;0.04372188;0.1099091;True;0.05389644;0.05795649;True;93.7135872;90.6474186;110;90;16.286412799999994;0.6474185999999946;16.299275834699824
3;tobii;0;1;2089922689;0.04189842;0.1127225;True;0.04788611;0.05792655;True;86.1931488;92.150487;110;90;23.806851199999997;2.1504869999999983;23.903781257284596
3;tobii;0;1;2089939336;0.04552758;0.1071239;True;0.05160798;0.06277797;True;93.2501376;91.7470098;110;90;16.749862399999998;1.7470098000000007;16.840722480351896
3;tobii;0;1;2089956510;0.04410648;0.111919;True;0.04884725;0.07237455;True;89.23558080000001;99.518517;110;90;20.764419199999992;9.518517000000003;22.842138047753267
3;tobii;0;1;2089972654;0.03831496;0.1124996;True;0.05750937;0.0691869;True;91.9913568;98.11071;110;90;18.008643199999995;8.110709999999997;19.750818884517322
3;tobii;0;1;2089989252;0.0404779;0.1049725;True;0.05563291;0.06397384;True;92.2663776;91.2310236;110;90;17.7336224;1.2310236000000003;17.776298335973628
3;tobii;0;1;2090006425;0.0447692;0.1047518;True;0.05914628;0.06603899;True;99.7588608;92.22702660000002;110;90;10.241139200000006;2.2270266000000163;10.48048565625107
3;tobii;0;1;2090022620;0.04050866;0.1053439;True;0.05490068;0.06665031;True;91.5929664;92.8768734;110;90;18.407033600000005;2.876873399999994;18.630493458605887
3;tobii;0;1;2090039168;0.04308714;0.09670506;True;0.05782388;0.06975266;True;96.8745792;89.88716879999998;110;90;13.1254208;0.11283120000001645;13.125905761385233
3;tobii;0;1;2090056345;0.04420783;0.1068062;True;0.05325469;0.06491342;True;93.5640192;92.7285948;110;90;16.435980799999996;2.728594799999996;16.660933180364044
3;tobii;0;1;2090072489;0.04153407;0.1182343;True;0.05305541;0.05916763;True;90.8059008;95.7970422;110;90;19.194099199999997;5.797042200000007;20.05041501735117
3;tobii;0;1;2090089083;0.04556097;0.1174366;True;0.05868431;0.06689205;True;100.0754688;99.537471;110;90;9.924531200000004;9.537470999999996;13.764435063438473
3;tobii;0;1;2090106265;0.04549348;0.1143262;True;0.05663203;0.06461755;True;98.0404896;96.629625;110;90;11.9595104;6.629625000000004;13.674129465831935
3;tobii;0;1;2090122455;0.04548643;0.1321514;True;0.0565643;0.06924253;True;97.9687008;108.7527222;110;90;12.031299200000007;18.752722199999994;22.280411808364168
3;tobii;0;1;2090138998;0.0468078;0.1373257;True;0.060668;0.07214937;True;103.176768;113.1165378;110;90;6.823232000000004;23.116537800000003;24.102506400469082
3;tobii;0;1;2090156223;0.04398871;0.1305898;True;0.05561389;0.06528817;True;95.618496;105.7741038;110;90;14.381504000000007;15.774103800000006;21.34595999235431
3;tobii;0;1;2090172324;0.04373548;0.1284441;True;0.05725729;0.04868004;True;96.9530592;95.6470356;110;90;13.046940800000002;5.647035599999995;14.216598584273665
3;tobii;0;1;2090188913;0.04178498;0.1260507;True;0.04985898;0.03342513;True;87.97820159999999;86.1169482;110;90;22.02179840000001;3.883051800000004;22.36152266845275
3;tobii;0;1;2090206143;0.03946354;0.1171344;True;0.04912654;0.04347882;True;85.04647680000001;86.7311388;110;90;24.953523199999992;3.2688612000000035;25.166719564492375
3;tobii;0;1;2090222290;0.04161809;0.1044089;True;0.04742397;0.04989168;True;85.48037760000001;83.3223132;110;90;24.51962239999999;6.677686800000004;25.412661876267023
3;tobii;0;1;2090238829;0.0462969;0.1102705;True;0.04713422;0.05621794;True;89.69387520000001;89.90375759999999;110;90;20.306124799999992;0.09624240000000839;20.306352872752225
3;tobii;0;1;2090255938;0.04614909;0.1125739;True;0.05410953;0.05569903;True;96.2482752;90.8673822;110;90;13.751724800000005;0.8673821999999944;13.779052465819703
3;tobii;0;1;2090272159;0.04282839;0.1305022;True;0.06012397;0.05111159;True;98.8342656;98.0714466;110;90;11.165734400000005;8.071446600000002;13.777585960827647
3;tobii;0;1;2090288745;0.04690535;0.1398911;True;0.05948365;0.04961155;True;102.13344;102.331431;110;90;7.866560000000007;12.331430999999995;14.626925744713446
3;tobii;0;1;2090305858;0.03811295;0.1356721;True;0.05090788;0.04584791;True;85.4599968;98.0208054;110;90;24.5400032;8.0208054;25.81753428042034
3;tobii;0;1;2090322125;0.04337974;0.1186631;True;0.04720448;0.05607366;True;86.9608512;94.3578504;110;90;23.039148800000007;4.357850400000004;23.44767019422872
3;tobii;0;1;2090338660;0.04485342;0.119674;True;0.04659134;0.05943075;True;87.7869696;96.716565;110;90;22.213030399999994;6.716565000000003;23.206269949101017
3;tobii;0;1;2090355778;0.04455807;0.1082245;True;0.05032195;0.05823326;True;91.0848192;89.88719040000001;110;90;18.9151808;0.1128095999999914;18.91551719363076
3;tobii;0;1;2090371995;0.04175828;0.1283969;True;0.0479706;0.0449243;True;86.13972480000001;93.593448;110;90;23.86027519999999;3.593447999999995;24.129351444836608
3;tobii;0;1;2090388575;0.04250629;0.1284553;True;0.05138188;0.04747731;True;90.1326432;95.0036094;110;90;19.867356799999996;5.003609400000002;20.487751786037297
3;tobii;0;1;2090405698;0.04716026;0.1328423;True;0.05262956;0.04939458;True;95.7982272;98.4079152;110;90;14.2017728;8.407915200000005;16.504041586024044
3;tobii;0;1;2090421961;0.04926682;0.1252572;True;0.05752306;0.05668911;True;102.5182848;98.2510074;110;90;7.4817151999999965;8.251007400000006;11.13800634982607
3;tobii;0;1;2090438490;0.05328906;0.1246993;True;0.0555722;0.05999646;True;104.5068096;99.7357104;110;90;5.493190400000003;9.735710400000002;11.178515007071395
3;tobii;0;1;2090455618;0.04889112;0.1185951;True;0.05699758;0.07053845;True;101.653152;102.132117;110;90;8.346847999999994;12.132116999999994;14.726103844425136
3;tobii;0;1;2090471831;0.05151856;0.1191631;True;0.05909116;0.06777775;True;106.1853312;100.948059;110;90;3.814668800000007;10.948059;11.593605734247413
3;tobii;0;1;2090488406;0.05139333;0.1222098;True;0.06073652;0.0603475;True;107.644656;98.580942;110;90;2.3553440000000023;8.580941999999993;8.898326301372629
3;tobii;0;1;2090505538;0.04764991;0.1207513;True;0.06271198;0.06357837;True;105.9474144;99.5380218;110;90;4.0525856000000005;9.538021799999996;10.363267337215737
3;tobii;0;1;2090521797;0.04638869;0.1305673;True;0.06622404;0.05921666;True;108.1082208;102.4833384;110;90;1.891779200000002;12.483338399999994;12.62586892655183
3;tobii;0;1;2090538322;0.0519168;0.1314693;True;0.06351005;0.05680897;True;110.809776;101.6702658;110;90;0.8097759999999994;11.670265799999996;11.69832641931424
3;tobii;0;1;2090555453;0.05207615;0.1323001;True;0.05592367;0.07139431;True;103.6798272;109.9949814;110;90;6.320172799999995;19.9949814;20.970070705846602
3;tobii;0;1;2090571666;0.0467771;0.1379244;True;0.06377397;0.06696709;True;106.1290272;110.6414046;110;90;3.870972800000004;20.6414046;21.00123839870499
3;tobii;0;1;2090588237;0.05369978;0.1448478;True;0.0580516;0.06497426;True;107.2813248;113.3039124;110;90;2.718675200000007;23.3039124;23.461959167767063
