participant;condition;order;event;timestamp;left_x;left_y;left_valid;right_x;right_y;right_valid;mean_x;mean_y;x_target;y_target;x_distance;y_distance;euclidean
3;tobii;1;1;1965311984;0.07019087;0.1287503;True;0.07869407;0.07463939;True;142.92954240000003;109.8304326;110;90;32.92954240000003;19.830432599999995;38.43957361595654
3;tobii;1;1;1965328537;0.06746631;0.1288501;True;0.07962855;0.07755928;True;141.21106559999998;111.4610652;110;90;31.211065599999984;21.461065199999993;37.877538666156134
3;tobii;1;1;1965345729;0.07180064;0.1504146;True;0.07343093;0.0946649;True;139.4223072;132.34293;110;90;29.422307200000006;42.342929999999996;51.561573695496065
3;tobii;1;1;1965361950;0.06903388;0.1318654;True;0.07446105;0.07945568;True;137.7551328;114.1133832;110;90;27.755132800000013;24.1133832;36.76686886445022
3;tobii;1;1;1965378452;0.0680902;0.1339881;True;0.07968863;0.0853405;True;141.8676768;118.437444;110;90;31.867676799999998;28.437444;42.71108809059299
3;tobii;1;1;1965395648;0.07343791;0.1335014;True;0.0722002;0.09468589;True;139.81258559999998;123.2211366;110;90;29.812585599999977;33.221136599999994;44.636690929695774
3;tobii;1;1;1965411819;0.07020629;0.1489732;True;0.06928483;0.08804807;True;133.9114752;127.9914858;110;90;23.911475200000012;37.99148580000001;44.88999487114938
3;tobii;1;1;1965428367;0.07276977;0.1561801;True;0.07125513;0.08377768;True;138.26390400000005;129.5772012;110;90;28.263904000000053;39.57720119999999;48.633354029374736
3;tobii;1;1;1965445568;0.07177713;0.1381629;True;0.07200316;0.08594151;True;138.02907839999995;121.0163814;110;90;28.029078399999946;31.0163814;41.80484602415861
3;tobii;1;1;1965461785;0.06704656;0.1362047;True;0.06894891;0.08755172;True;130.5556512;120.8284668;110;90;20.5556512;30.8284668;37.05305873331868
3;tobii;1;1;1965478282;0.07162572;0.133692;True;0.0707493;0.08853541;True;136.6800192;120.0028014;110;90;26.680019200000004;30.002801399999996;40.14961414958069
3;tobii;1;1;1965495364;0.07653815;0.1320042;True;0.06779544;0.08968519;True;138.5602464;119.7122706;110;90;28.56024640000001;29.712270599999997;41.21294333866895
3;tobii;1;1;1965511654;0.06930233;0.1204456;True;0.06368639;0.08726318;True;127.6691712;112.1627412;110;90;17.669171199999994;22.1627412;28.34407713073556
3;tobii;1;1;1965528197;0.0706088;0.1201221;True;0.0690303;0.08789546;True;134.053536;112.3294824;110;90;24.05353600000001;22.329482400000003;32.82039576780278
3;tobii;1;1;1965545283;0.07635263;0.1334368;True;0.07240381;0.08170197;True;142.80618239999998;116.1749358;110;90;32.80618239999998;26.1749358;41.96871296330387
3;tobii;1;1;1965561619;0.0733842;0.1422683;True;0.0667258;0.0747434;True;134.50560000000002;117.186318;110;90;24.505600000000015;27.186318;36.60082400379976
3;tobii;1;1;1965578112;0.07189031;0.1442116;True;0.06284715;0.07037243;True;129.3479616;115.8753762;110;90;19.34796159999999;25.875376200000005;32.30911189690303
3;tobii;1;1;1965595203;0.07233718;0.1385588;True;0.0678732;0.07371873;True;134.6019648;114.6298662;110;90;24.60196479999999;24.629866199999995;34.81216714096295
3;tobii;1;1;1965611488;0.06977724;0.1238456;True;0.07212698;0.07090221;True;136.2280512;105.1638174;110;90;26.22805120000001;15.1638174;30.296072812996155
3;tobii;1;1;1965628027;0.06769925;0.1280562;True;0.06881878;0.07146595;True;131.05730880000002;107.741961;110;90;21.057308800000015;17.741961000000003;27.53520354063284
3;tobii;1;1;1965645123;0.07242544;0.1319111;True;0.071385;0.07358133;True;138.05802239999997;110.9659122;110;90;28.05802239999997;20.965912200000005;35.02602026175696
3;tobii;1;1;1965661454;0.07561433;0.1250173;True;0.07213292;0.07029962;True;141.83736;105.4711368;110;90;31.83735999999999;15.471136799999996;35.397366648578725
3;tobii;1;1;1965678039;0.07479201;0.1246005;True;0.07202264;0.07133964;True;140.942064;105.8076756;110;90;30.942063999999988;15.807675599999996;34.74613550389353
3;tobii;1;1;1965695042;0.0718188;0.1212775;True;0.07417788;0.07798754;True;140.15681279999998;107.6031216;110;90;30.156812799999983;17.603121599999994;34.918522997381054
3;tobii;1;1;1965711323;0.0684457;0.1199911;True;0.07019747;0.07632042;True;133.0974432;106.0082208;110;90;23.097443199999987;16.008220800000004;28.10258022955861
3;tobii;1;1;1965727857;0.0672683;0.1237849;True;0.06916183;0.0709689;True;130.9729248;105.167052;110;90;20.972924799999987;15.167051999999998;25.882485217558965
3;tobii;1;1;1965744962;0.07045291;0.1206331;True;0.07407203;0.07540007;True;138.74394239999998;105.85791179999998;110;90;28.74394239999998;15.857911799999982;32.828152420614465
3;tobii;1;1;1965761289;0.07431994;0.1279482;True;0.07323447;0.06796909;True;141.6522336;105.7953366;110;90;31.652233599999988;15.795336599999999;35.37451837377108
3;tobii;1;1;1965777772;0.07616264;0.1324146;True;0.07237585;0.07077657;True;142.59695040000005;109.7232318;110;90;32.596950400000054;19.723231799999994;38.09943632150737
