participant;condition;order;event;timestamp;left_x;left_y;left_valid;right_x;right_y;right_valid;mean_x;mean_y;x_target;y_target;x_distance;y_distance;euclidean
4;tobii;1;1;-1152033591;0.06161914;0.1290653;True;0.05857932;0.1040869;True;115.3905216;125.90218799999998;110;90;5.3905216;35.90218799999998;36.304611639672025
4;tobii;1;1;-1152016330;0.06559491;0.1256455;True;0.06060713;0.1083893;True;121.15395840000002;126.378792;110;90;11.153958400000022;36.378792000000004;38.05032582473106
4;tobii;1;1;-1152000321;0.0633614;0.1207407;True;0.06295697;0.09110765;True;121.26563520000002;114.398109;110;90;11.26563520000002;24.398109000000005;26.873448964272537
4;tobii;1;1;-1151983676;0.06756424;0.1267354;True;0.06343548;0.088999;True;125.7597312;116.496576;110;90;15.759731200000004;26.496576000000005;30.82916909713964
4;tobii;1;1;-1151966411;0.06724114;0.1267201;True;0.06059404;0.07860583;True;122.7217728;110.8760022;110;90;12.721772799999997;20.876002200000002;24.446901051651203
4;tobii;1;1;-1151950355;0.07128012;0.1261759;True;0.05846252;0.1072618;True;124.5529344;126.05635800000002;110;90;14.552934399999998;36.05635800000002;38.88250058670184
4;tobii;1;1;-1151933761;0.06973331;0.1222964;True;0.05968654;0.1145625;True;124.243056;127.903806;110;90;14.243055999999996;37.903806;40.49151952575715
4;tobii;1;1;-1151916491;0.06542175;0.1134005;True;0.06252111;0.1148709;True;122.82514559999998;123.266556;110;90;12.825145599999985;33.266555999999994;35.65316406382938
4;tobii;1;1;-1151900389;0.05826851;0.1314678;True;0.06042406;0.09559038;True;113.9448672;122.6114172;110;90;3.9448672000000045;32.611417200000005;32.84914776699834
4;tobii;1;1;-1151883845;0.06711273;0.1367926;True;0.05743854;0.09734128;True;119.5692192;126.4322952;110;90;9.569219200000006;36.4322952;37.66805131192204
4;tobii;1;1;-1151866571;0.07950049;0.1336701;True;0.05594137;0.09551201;True;130.0241856;123.7583394;110;90;20.02418560000001;33.7583394;39.25039474946513
4;tobii;1;1;-1151850520;0.07417086;0.1444283;True;0.0632234;0.09832633;True;131.8984896;131.08750020000002;110;90;21.898489600000005;41.08750020000002;46.55885006576419
4;tobii;1;1;-1151833932;0.07176132;0.1371699;True;0.06157373;0.1077613;True;128.00164800000002;132.26284800000002;110;90;18.001648000000017;42.26284800000002;45.9369965473039
4;tobii;1;1;-1151816652;0.07335234;0.1315117;True;0.05275646;0.1204083;True;121.064448;136.03680000000003;110;90;11.064447999999999;46.03680000000003;47.347745076029824
4;tobii;1;1;-1151800554;0.0646605;0.1399481;True;0.05194992;0.1204135;True;111.9460032;140.595264;110;90;1.946003200000007;50.595263999999986;50.63267391402616
4;tobii;1;1;-1151784016;0.06532453;0.1365383;True;0.05588259;0.1119525;True;116.3588352;134.185032;110;90;6.3588352000000015;44.18503200000001;44.64024908019425
