participant;condition;order;event;timestamp;x_filtered;y_filtered;x_filtered_norm;y_filtered_norm;x_raw_norm;y_raw_norm;AOI;x_target;y_target;x_raw;y_raw;x_filtered_distance;y_filtered_distance;x_raw_distance;y_raw_distance;filtered_euclidean;raw_euclidean
12;uniteye;1;1;1699356145751;237.0;223.0;0.1234865;0.2067085;0.1175165;0.1823299;;110;90;225.63168;196.916292;127.0;133.0;115.63167999999999;106.916292;183.89671013914307;157.4858054386225
12;uniteye;1;1;1699356145784;236.0;221.0;0.123057;0.2051323;0.1203688;0.1629305;;110;90;231.108096;175.96494;126.0;131.0;121.10809599999999;85.96494000000001;181.76083186429358;148.51646988111727
12;uniteye;1;1;1699356145817;236.0;221.0;0.1230924;0.2046415;0.1279588;0.1708655;;110;90;245.68089600000002;184.53474;126.0;131.0;135.68089600000002;94.53474;181.76083186429358;165.3666308728288
12;uniteye;1;1;1699356145851;236.0;222.0;0.1230857;0.2059743;0.1219655;0.2400331;;110;90;234.17376000000002;259.235748;126.0;132.0;124.17376000000002;169.235748;182.4828759089466;209.90440937164018
12;uniteye;1;1;1699356145884;235.0;222.0;0.1228531;0.2058749;0.1115806;0.1854796;;110;90;214.23475200000001;200.317968;125.0;132.0;104.23475200000001;110.31796800000001;181.79383927955314;151.77265098874216
12;uniteye;1;1;1699356145918;234.0;221.0;0.1219354;0.2051453;0.09377711;0.1623554;;110;90;180.0520512;175.34383200000002;124.0;131.0;70.0520512;85.34383200000002;180.38015411901608;110.41222549053002
12;uniteye;1;1;1699356145953;233.0;221.0;0.1217829;0.2047845;0.1186504;0.191792;;110;90;227.80876800000001;207.13536;123.0;131.0;117.80876800000001;117.13535999999999;179.6941846582688;166.1312685198287
12;uniteye;1;1;1699356145985;233.0;220.0;0.1213585;0.2042815;0.09657456;0.1657656;;110;90;185.4231552;179.026848;123.0;130.0;75.4231552;89.026848;178.96647730790255;116.68089820162677
12;uniteye;1;1;1699356146018;233.0;220.0;0.12144;0.2042704;0.1271387;0.2057895;;110;90;244.106304;222.25266;123.0;130.0;134.106304;132.25266;178.96647730790255;188.34879041187392
12;uniteye;1;1;1699356146052;233.0;220.0;0.1214261;0.204154;0.1230255;0.1914207;;110;90;236.20896;206.734356;123.0;130.0;126.20895999999999;116.73435599999999;178.96647730790255;171.9174553528999
12;uniteye;1;1;1699356146084;232.0;229.0;0.1212947;0.2123115;0.121743;0.3173594;;110;90;233.74656000000002;342.748152;122.0;139.0;123.74656000000002;252.748152;184.94593804677083;281.4157768342932
12;uniteye;1;1;1699356146117;233.0;232.0;0.1214314;0.2149018;0.120852;0.1960853;;110;90;232.03584;211.772124;123.0;142.0;122.03584000000001;121.77212399999999;187.8643127366132;172.39836550262584
12;uniteye;1;1;1699356146151;233.0;232.0;0.1214329;0.2148295;0.1207939;0.2012855;;110;90;231.924288;217.38834;123.0;142.0;121.92428799999999;127.38834;187.8643127366132;176.33298378993803
12;uniteye;1;1;1699356146184;233.0;232.0;0.1213612;0.2153807;0.1202508;0.2143766;;110;90;230.881536;231.526728;123.0;142.0;120.88153600000001;141.526728;187.8643127366132;186.1240459588854
12;uniteye;1;1;1699356146218;233.0;232.0;0.1215929;0.2152691;0.1339184;0.2291556;;110;90;257.123328;247.488048;123.0;142.0;147.12332800000001;157.488048;187.8643127366132;215.51742134835848
12;uniteye;1;1;1699356146252;233.0;232.0;0.1218549;0.2152039;0.1358551;0.2036015;;110;90;260.841792;219.88961999999998;123.0;142.0;150.841792;129.88961999999998;187.8643127366132;199.0591861671188
12;uniteye;1;1;1699356146284;233.0;231.0;0.1217695;0.2145329;0.1158255;0.1780289;;110;90;222.38496;192.271212;123.0;141.0;112.38496;102.27121199999999;187.1095935541521;151.95321661008214
12;uniteye;1;1;1699356146318;232.0;230.0;0.1213455;0.213712;0.1200823;0.1870023;;110;90;230.558016;201.96248400000002;122.0;140.0;120.55801600000001;111.96248400000002;185.69868066305693;164.52912521893052
12;uniteye;1;1;1699356146352;232.0;230.0;0.1211827;0.213589;0.1076364;0.193826;;110;90;206.66188799999998;209.33208;122.0;140.0;96.66188799999998;119.33207999999999;185.69868066305693;153.56974281690694
12;uniteye;1;1;1699356146385;232.0;230.0;0.1209495;0.2131264;0.1051748;0.1799943;;110;90;201.935616;194.393844;122.0;140.0;91.93561600000001;104.393844;185.69868066305693;139.10511189167633
12;uniteye;1;1;1699356146418;232.0;229.0;0.1208451;0.2122747;0.1318833;0.1728262;;110;90;253.21593600000003;186.652296;122.0;139.0;143.21593600000003;96.652296;184.94593804677083;172.77867532316517
12;uniteye;1;1;1699356146450;232.0;228.0;0.1208582;0.2118877;0.117201;0.2145803;;110;90;225.02591999999999;231.746724;122.0;138.0;115.02591999999999;141.746724;184.19554826325202;182.5461476903267
12;uniteye;1;1;1699356146485;232.0;228.0;0.1208396;0.2117568;0.1142297;0.1898923;;110;90;219.321024;205.083684;122.0;138.0;109.321024;115.083684;184.19554826325202;158.73040229086686
12;uniteye;1;1;1699356146518;232.0;228.0;0.1208728;0.2114992;0.1251546;0.1929055;;110;90;240.296832;208.33794;122.0;138.0;130.296832;118.33794;184.19554826325202;176.0145802843612
12;uniteye;1;1;1699356146552;232.0;227.0;0.121153;0.2106986;0.1265275;0.1693506;;110;90;242.9328;182.89864799999998;122.0;137.0;132.9328;92.89864799999998;183.44754018519845;162.1767187856133
12;uniteye;1;1;1699356146585;232.0;226.0;0.1208856;0.2095214;0.1053038;0.1816159;;110;90;202.183296;196.145172;122.0;136.0;92.18329600000001;106.145172;182.70194306574848;140.58647730252437
12;uniteye;1;1;1699356146619;231.0;226.0;0.1206734;0.209457;0.1269719;0.2128219;;110;90;243.786048;229.847652;121.0;136.0;133.786048;139.847652;182.03571078225283;193.53571352432968
12;uniteye;1;1;1699356146652;232.0;226.0;0.1209298;0.2094321;0.1349934;0.1880285;;110;90;259.18732800000004;203.07077999999998;122.0;136.0;149.18732800000004;113.07077999999998;182.70194306574848;187.19471179920652
12;uniteye;1;1;1699356146686;232.0;225.0;0.1209038;0.2087881;0.1209275;0.173723;;110;90;232.18079999999998;187.62084;122.0;135.0;122.18079999999998;97.62083999999999;181.95878654244757;156.39046099729225
12;uniteye;1;1;1699356146717;232.0;225.0;0.1209417;0.2084915;0.1254403;0.1842316;;110;90;240.84537600000002;198.970128;122.0;135.0;130.84537600000002;108.97012799999999;181.95878654244757;170.2791860942428
12;uniteye;1;1;1699356146751;232.0;224.0;0.1209704;0.2080913;0.1190862;0.1700982;;110;90;228.64550400000002;183.70605600000002;122.0;134.0;118.64550400000002;93.70605600000002;181.2181006411887;151.18723673144225
12;uniteye;1;1;1699356146784;232.0;223.0;0.1210193;0.2068682;0.1272011;0.1509392;;110;90;244.22611200000003;163.014336;122.0;133.0;134.22611200000003;73.01433599999999;180.47991578012218;152.79968064154272
12;uniteye;1;1;1699356146818;232.0;223.0;0.1211492;0.2066722;0.1154348;0.1754336;;110;90;221.634816;189.468288;122.0;133.0;111.634816;99.468288;180.47991578012218;149.5201406533742
12;uniteye;1;1;1699356146850;232.0;222.0;0.1210654;0.2062453;0.110761;0.1719958;;110;90;212.66111999999998;185.75546400000002;122.0;132.0;102.66111999999998;95.75546400000002;179.74426277353055;140.38666049703474
12;uniteye;1;1;1699356146884;232.0;222.0;0.1210371;0.206013;0.1158784;0.1963346;;110;90;222.48652800000002;212.041368;122.0;132.0;112.48652800000002;122.041368;179.74426277353055;165.9738367478628
12;uniteye;1;1;1699356146918;231.0;221.0;0.1207453;0.2055399;0.1052943;0.1670288;;110;90;202.165056;180.391104;121.0;131.0;92.16505599999999;90.39110400000001;178.33115263464205;129.09279309791833
12;uniteye;1;1;1699356146952;231.0;221.0;0.120686;0.2050843;0.1310959;0.190817;;110;90;251.70412799999997;206.08236;121.0;131.0;141.70412799999997;116.08236;178.33115263464205;183.18071458374098
12;uniteye;1;1;1699356146986;231.0;221.0;0.120623;0.2050501;0.1220216;0.2079058;;110;90;234.28147199999998;224.538264;121.0;131.0;124.28147199999998;134.538264;178.33115263464205;183.15684197599737
12;uniteye;1;1;1699356147019;233.0;221.0;0.1218614;0.204958;0.137658;0.1937299;;110;90;264.30336;209.228292;123.0;131.0;154.30336;119.22829200000001;179.6941846582688;194.9997756935296
12;uniteye;1;1;1699356147052;236.0;229.0;0.123138;0.2128481;0.1397341;0.2112241;;110;90;268.289472;228.122028;126.0;139.0;158.289472;138.122028;187.608635195718;210.07915547448195
12;uniteye;1;1;1699356147085;235.0;229.0;0.1228791;0.2125554;0.114955;0.191093;;110;90;220.7136;206.38044000000002;125.0;139.0;110.71360000000001;116.38044000000002;186.93849255838134;160.62972339997853
12;uniteye;1;1;1699356147118;235.0;228.0;0.1228996;0.2116321;0.1227777;0.1696961;;110;90;235.733184;183.271788;125.0;138.0;125.733184;93.27178799999999;186.19613314996636;156.55178055676913
12;uniteye;1;1;1699356147151;236.0;227.0;0.1229436;0.2109756;0.1304008;0.1905358;;110;90;250.369536;205.778664;126.0;137.0;140.369536;115.77866399999999;186.1316738225926;181.9568786127092
12;uniteye;1;1;1699356147184;235.0;227.0;0.122883;0.2108595;0.1091369;0.1982552;;110;90;209.542848;214.115616;125.0;137.0;99.54284799999999;124.11561599999999;185.4561942885705;159.1020575700093
12;uniteye;1;1;1699356147218;235.0;229.0;0.1228636;0.2122611;0.1197141;0.2511791;;110;90;229.85107200000002;271.27342799999997;125.0;139.0;119.85107200000002;181.27342799999997;186.93849255838134;217.31160842996943
12;uniteye;1;1;1699356147251;235.0;229.0;0.1229008;0.2123202;0.1192179;0.1951189;;110;90;228.898368;210.72841200000002;125.0;139.0;118.898368;120.72841200000002;186.93849255838134;169.44666233686982
12;uniteye;1;1;1699356147285;235.0;228.0;0.122819;0.2120105;0.1198976;0.2001751;;110;90;230.20339199999998;216.189108;125.0;138.0;120.20339199999998;126.189108;186.19613314996636;174.2772114366687
12;uniteye;1;1;1699356147318;236.0;228.0;0.1233602;0.2119629;0.1323915;0.204459;;110;90;254.19168;220.81572;126.0;138.0;144.19168;130.81572;186.86893802876924;194.68947886401256
12;uniteye;1;1;1699356147351;237.0;229.0;0.1234387;0.2121861;0.1098104;0.2271464;;110;90;210.835968;245.31811199999999;127.0;139.0;100.83596800000001;155.31811199999999;188.2817038376273;185.1799350840732
12;uniteye;1;1;1699356147385;235.0;227.0;0.1227686;0.2102039;0.1128051;0.1572877;;110;90;216.585792;169.87071600000002;125.0;137.0;106.585792;79.87071600000002;185.4561942885705;133.1910745155993
12;uniteye;1;1;1699356147418;235.0;225.0;0.122786;0.2089264;0.1261901;0.2114573;;110;90;242.284992;228.37388399999998;125.0;135.0;132.284992;138.37388399999998;183.98369492974098;191.43314990274152
12;uniteye;1;1;1699356147453;235.0;224.0;0.122843;0.2081418;0.1301867;0.1722124;;110;90;249.958464;185.98939199999998;125.0;134.0;139.958464;95.98939199999998;183.25119372053214;169.7125069691947
12;uniteye;1;1;1699356147486;235.0;224.0;0.1228143;0.2080957;0.1241624;0.1904126;;110;90;238.39180800000003;205.64560799999998;125.0;134.0;128.39180800000003;115.64560799999998;183.25119372053214;172.79572625270143
12;uniteye;1;1;1699356147519;235.0;224.0;0.1225079;0.2076256;0.1183113;0.1838795;;110;90;227.157696;198.58986;125.0;134.0;117.15769599999999;108.58985999999999;183.25119372053214;159.74255358810316
