participant;condition;order;event;timestamp;left_x;left_y;left_valid;right_x;right_y;right_valid;mean_x;mean_y;x_target;y_target;x_distance;y_distance;euclidean
5;tobii;1;1;-34906969;0.06316039;0.07014613;True;0.03970798;0.05535664;True;98.7536352;67.7714958;110;90;11.246364799999995;22.228504200000003;24.911586063197518
5;tobii;1;1;-34890384;0.065632;0.0750857;True;0.04056415;0.05135094;True;101.948304;68.27578559999999;110;90;8.051696000000007;21.724214400000008;23.168325355398128
5;tobii;1;1;-34873589;0.069655;0.0717159;True;0.04346352;0.05223652;True;108.5937792;66.9343068;110;90;1.4062207999999998;23.0656932;23.108519202555552
5;tobii;1;1;-34857003;0.06824854;0.07714912;True;0.04647712;0.05781961;True;110.1366336;72.88311420000001;110;90;0.13663359999999614;17.11688579999999;17.117431122422847
5;tobii;1;1;-34840372;0.06851302;0.07441556;True;0.04338918;0.05813981;True;107.426112;71.5798998;110;90;2.5738879999999966;18.420100199999993;18.599058869055277
5;tobii;1;1;-34823669;0.06664258;0.07912476;True;0.04379688;0.05762671;True;106.0218816;73.8457938;110;90;3.9781183999999996;16.154206200000004;16.636820728628926
5;tobii;1;1;-34807037;0.0656751;0.06900837;True;0.04526737;0.04803381;True;106.5047712;63.2027772;110;90;3.4952288000000067;26.7972228;27.024207188318943
5;tobii;1;1;-34790458;0.06740185;0.0705912;True;0.04487747;0.04299291;True;107.7881472;61.335419400000006;110;90;2.2118528000000026;28.664580599999994;28.749790847635115
5;tobii;1;1;-34773749;0.0670922;0.06292101;True;0.04626518;0.03886677;True;108.8230848;54.9654012;110;90;1.1769151999999963;35.0345988;35.05436124742472
5;tobii;1;1;-34757168;0.06729055;0.05486853;True;0.04854583;0.04207951;True;111.2029248;52.3519416;110;90;1.2029248000000052;37.6480584;37.66727132889062
5;tobii;1;1;-34740542;0.06736308;0.06054732;True;0.04194849;0.04581741;True;104.9391072;57.4369542;110;90;5.060892800000005;32.5630458;32.95397681169891
5;tobii;1;1;-34723829;0.06512698;0.06521956;True;0.04472568;0.05367157;True;105.4585536;64.2012102;110;90;4.541446399999998;25.798789799999994;26.195463167286366
5;tobii;1;1;-34707202;0.06984176;0.06541917;True;0.04350683;0.04977236;True;108.8146464;62.2034262;110;90;1.1853535999999991;27.796573799999997;27.821836355206305
5;tobii;1;1;-34690626;0.06733749;0.06825092;True;0.04159027;0.05014462;True;104.5706496;63.93359160000001;110;90;5.429350400000004;26.066408399999993;26.625842571486267
5;tobii;1;1;-34673909;0.06416599;0.07377636;True;0.03909798;0.05314809;True;99.1334112;68.539203;110;90;10.866588800000002;21.460797;24.05511504905962
5;tobii;1;1;-34657332;0.06709142;0.07484407;True;0.04000872;0.05536867;True;102.8161344;70.3148796;110;90;7.183865600000004;19.685120400000002;20.954996781707212
5;tobii;1;1;-34640711;0.07010081;0.07684614;True;0.04162101;0.05208106;True;107.2529472;69.620688;110;90;2.747052800000006;20.379312;20.56362459974729
5;tobii;1;1;-34623989;0.07097775;0.0740304;True;0.04780399;0.04917649;True;114.0304704;66.5317206;110;90;4.030470399999999;23.4682794;23.81186321230954
5;tobii;1;1;-34607366;0.06741223;0.06724388;True;0.0477779;0.05239721;True;110.5825248;64.6061886;110;90;0.5825248000000016;25.393811400000004;25.400491974790278
5;tobii;1;1;-34590795;0.06504551;0.07142347;True;0.04659199;0.05038424;True;107.172;65.7761634;110;90;2.828000000000003;24.2238366;24.38835467233285
5;tobii;1;1;-34574069;0.0682051;0.06686298;True;0.04734256;0.05287174;True;110.9257536;64.6567488;110;90;0.9257535999999931;25.343251199999997;25.360153806990493
5;tobii;1;1;-34557498;0.06907134;0.06240663;True;0.04449276;0.04660411;True;109.021536;58.8657996;110;90;0.9784640000000024;31.134200399999997;31.14957184852877
5;tobii;1;1;-34540881;0.06743049;0.06203827;True;0.0465295;0.04317627;True;109.4015904;56.8158516;110;90;0.5984095999999965;33.1841484;33.18954352025039
5;tobii;1;1;-34524149;0.06648817;0.06324126;True;0.04339632;0.04165086;True;105.4891104;56.6417448;110;90;4.510889599999999;33.3582552;33.66186737202372
5;tobii;1;1;-34507532;0.06452293;0.06039098;True;0.04135898;0.04910605;True;101.6466336;59.1283962;110;90;8.353366399999999;30.871603800000003;31.981786244624043
5;tobii;1;1;-34490965;0.06585959;0.0663441;True;0.04772427;0.0546039;True;109.0405056;65.31192;110;90;0.959494399999997;24.68808;24.706718187368217
5;tobii;1;1;-34474229;0.06554102;0.06484804;True;0.04865197;0.04720744;True;109.6252704;60.5099592;110;90;0.3747295999999949;29.490040800000003;29.492421546200323
5;tobii;1;1;-34457662;0.06779741;0.07236727;True;0.04563147;0.04284586;True;108.8917248;62.2150902;110;90;1.1082751999999942;27.7849098;27.80700427074213
5;tobii;1;1;-34441049;0.06623845;0.06997421;True;0.04718631;0.04406144;True;108.8877696;61.57925099999999;110;90;1.1122304000000014;28.420749000000008;28.44250393660315
5;tobii;1;1;-34424309;0.06367309;0.05034412;True;0.04517759;0.04145014;True;104.4966528;49.5689004;110;90;5.503347199999993;40.4310996;40.80392928712709
5;tobii;1;1;-34407696;0.06466906;0.048944;True;0.04771642;0.04116802;True;107.8900608;48.6604908;110;90;2.1099391999999995;41.3395092;41.393319078380046
5;tobii;1;1;-34391134;0.06285896;0.05414454;True;0.04260924;0.0389263;True;101.249472;50.2582536;110;90;8.750528000000003;39.7417464;40.69371139624275
5;tobii;1;1;-34374389;0.06375535;0.04830968;True;0.04395969;0.02891102;True;103.4064384;41.699178;110;90;6.593561600000001;48.300822;48.748789322901935
5;tobii;1;1;-34357826;0.06268145;0.04188813;True;0.04258776;0.0380075;True;101.0584416;43.1436402;110;90;8.941558400000005;46.8563598;47.70188592003115
5;tobii;1;1;-34341218;0.06472234;0.04285093;True;0.04434163;0.04344858;True;104.7014112;46.6017354;110;90;5.2985888000000045;43.3982646;43.72052622696916
5;tobii;1;1;-34324469;0.06467299;0.05027166;True;0.04635496;0.04666356;True;106.586832;52.3450188;110;90;3.413167999999999;37.6549812;37.809354992760426
5;tobii;1;1;-34307860;0.06301811;0.05454743;True;0.04377198;0.05560796;True;102.5184864;59.4839106;110;90;7.4815135999999995;30.5160894;31.419814735541923
5;tobii;1;1;-34291304;0.0616245;0.06112005;True;0.04821241;0.05516106;True;105.4434336;62.7917994;110;90;4.556566399999994;27.208200599999998;27.58710708369852
5;tobii;1;1;-34274549;0.06264886;0.06376262;True;0.04635977;0.06300666;True;104.6482848;68.4554112;110;90;5.351715200000001;21.5445888;22.199327966021777
5;tobii;1;1;-34257991;0.06101635;0.0546212;True;0.04661042;0.05702453;True;103.3216992;60.2886942;110;90;6.678300800000002;29.711305799999998;30.452608983737242
5;tobii;1;1;-34241388;0.06010111;0.05505119;True;0.04816336;0.06030559;True;103.9338912;62.2926612;110;90;6.066108799999995;27.707338800000002;28.363608715243252
5;tobii;1;1;-34224629;0.06450665;0.05639251;True;0.04427258;0.05825469;True;104.4280608;61.909488;110;90;5.571939200000003;28.090511999999997;28.637796194376417
5;tobii;1;1;-34208025;0.06904329;0.0610857;True;0.04298691;0.0532412;True;107.548992;61.736526000000005;110;90;2.4510080000000016;28.263473999999995;28.369550626767772
5;tobii;1;1;-34191472;0.06819365;0.06637841;True;0.04312884;0.04956764;True;106.8695904;62.610867;110;90;3.130409599999993;27.389133;27.567445851138643
