participant;condition;order;event;timestamp;x_filtered;y_filtered;x_filtered_norm;y_filtered_norm;x_raw_norm;y_raw_norm;AOI;x_target;y_target;x_raw;y_raw;x_filtered_distance;y_filtered_distance;x_raw_distance;y_raw_distance;filtered_euclidean;raw_euclidean
11;uniteye;1;1;1699352474514;336.0;92.0;0.1754358;0.08530387;0.1139561;-0.0001865296;;110;90;218.795712;-0.20145196799999998;226.0;2.0;108.79571200000001;90.201451968;226.00884938426637;141.32518843688962
11;uniteye;1;1;1699352474548;332.0;91.0;0.1734248;0.08448703;0.1070085;-0.0005141906;;110;90;205.45632;-0.555325848;222.0;1.0;95.45632;90.555325848;222.00225224082752;131.5757427012284
11;uniteye;1;1;1699352474584;331.0;90.0;0.1727481;0.08382612;0.1426783;0.0006886179;;110;90;273.942336;0.7437073319999999;221.0;0.0;163.942336;89.256292668;221.0;186.66487434429803
11;uniteye;1;1;1699352474614;329.0;89.0;0.1716293;0.08333004;0.1334436;0.000426627;;110;90;256.211712;0.46075716;219.0;1.0;146.21171199999998;89.53924284;219.00228309312212;171.45011150282588
11;uniteye;1;1;1699352474648;328.0;89.0;0.1709803;0.08288494;0.1334998;0.0004024445;;110;90;256.319616;0.43464006;218.0;1.0;146.319616;89.56535994;218.0022935659164;171.55577439296297
11;uniteye;1;1;1699352474683;317.0;88.0;0.1655243;0.08239148;0.09164674;-0.000953489;;110;90;175.9617408;-1.02976812;207.0;2.0;65.9617408;91.02976812;207.00966161027364;112.41605727540596
11;uniteye;1;1;1699352474714;314.0;88.0;0.1637774;0.08205758;0.1118126;-0.0004872617;;110;90;214.680192;-0.526242636;204.0;2.0;104.680192;90.526242636;204.00980368599937;138.39415884692826
11;uniteye;1;1;1699352474748;312.0;88.0;0.1629745;0.08178189;0.1219491;-0.0001602788;;110;90;234.14227200000002;-0.173101104;202.0;2.0;124.14227200000002;90.173101104;202.00990074746338;153.43562774021618
11;uniteye;1;1;1699352474783;307.0;88.0;0.159927;0.08152241;0.08822131;-0.001079488;;110;90;169.3849152;-1.16584704;197.0;2.0;59.384915199999995;91.16584704;197.0101520226813;108.8015616608138
11;uniteye;1;1;1699352474816;302.0;87.0;0.1576739;0.08131255;0.09176717;-0.001022507;;110;90;176.1929664;-1.10430756;192.0;3.0;66.19296639999999;91.10430756;192.02343606966312;112.61218254175967
11;uniteye;1;1;1699352474848;300.0;87.0;0.1564927;0.08114659;0.09692468;-0.0009289288;;110;90;186.0953856;-1.003243104;190.0;3.0;76.09538559999999;91.003243104;190.02368273454758;118.62587392748013
11;uniteye;1;1;1699352474883;297.0;87.0;0.1551524;0.08100544;0.1107058;-0.0003364451;;110;90;212.55513599999998;-0.363360708;187.0;3.0;102.55513599999998;90.363360708;187.0240626229684;136.6861107736357
11;uniteye;1;1;1699352474914;293.0;87.0;0.1529624;0.08090244;0.0884832;-0.001181967;;110;90;169.887744;-1.2765243599999998;183.0;3.0;59.887744;91.27652436;183.02458851203573;109.16934450957929
11;uniteye;1;1;1699352474948;292.0;87.0;0.1523165;0.0808599;0.1132225;-0.0001983257;;110;90;217.3872;-0.214191756;182.0;3.0;107.3872;90.214191756;182.02472359545007;140.25195584386103
11;uniteye;1;1;1699352474984;288.0;87.0;0.1504515;0.0807196;0.09380984;-0.001048321;;110;90;180.1148928;-1.13218668;178.0;3.0;70.1148928;91.13218668;178.02527910383964;114.98336245489546
11;uniteye;1;1;1699352475014;288.0;87.0;0.150081;0.08068623;0.1127479;-0.0002688459;;110;90;216.475968;-0.290353572;178.0;3.0;106.475968;90.290353572;178.02527910383964;139.60472667389809
11;uniteye;1;1;1699352475048;286.0;87.0;0.1492672;0.08064121;0.1216287;3.517992e-05;;110;90;233.527104;0.0379943136;176.0;3.0;123.52710400000001;89.9620056864;176.02556632489498;152.81396496965417
11;uniteye;1;1;1699352475082;285.0;87.0;0.14871;0.08058657;0.1400302;0.0006875652;;110;90;268.857984;0.742570416;175.0;3.0;158.857984;89.257429584;175.025712396779;182.2162117279551
11;uniteye;1;1;1699352475114;284.0;86.0;0.1483196;0.08051726;0.1379764;0.0005504357;;110;90;264.914688;0.594470556;174.0;4.0;154.914688;89.405529444;174.04597093871493;178.86282244586016
11;uniteye;1;1;1699352475147;283.0;86.0;0.1478909;0.08045485;0.141844;0.0008759806;;110;90;272.34048;0.9460590480000001;173.0;4.0;162.34048;89.053940952;173.04623659588788;185.16218794806002
11;uniteye;1;1;1699352475182;283.0;86.0;0.1475387;0.08040696;0.1374108;0.0006828515;;110;90;263.828736;0.73747962;173.0;4.0;153.828736;89.26252038;173.04623659588788;177.85127934301627
11;uniteye;1;1;1699352475215;281.0;86.0;0.1467714;0.08034743;0.1283402;0.0003669681;;110;90;246.41318399999997;0.39632554799999997;171.0;4.0;136.41318399999997;89.603674452;171.04677722775136;163.209605245273
11;uniteye;1;1;1699352475248;281.0;86.0;0.1465383;0.0803189;0.1257624;0.0001158876;;110;90;241.463808;0.125158608;171.0;4.0;131.463808;89.874841392;171.04677722775136;159.24892442053735
11;uniteye;1;1;1699352475281;279.0;86.0;0.1457119;0.08025461;0.1159613;-0.0001753311;;110;90;222.64569600000002;-0.18935758800000002;169.0;4.0;112.64569600000002;90.18935758800001;169.04733065032408;144.30236674933838
11;uniteye;1;1;1699352475313;278.0;86.0;0.1450674;0.08019686;0.1143752;-0.000226625;;110;90;219.600384;-0.244755;168.0;4.0;109.60038399999999;90.244755;168.04761230080004;141.97309596524786
11;uniteye;1;1;1699352475348;271.0;86.0;0.1413713;0.08006797;0.08894622;-0.0010823;;110;90;170.77674240000002;-1.168884;161.0;4.0;60.77674240000002;91.168884;161.0496817755316;109.56996772182337
11;uniteye;1;1;1699352475381;271.0;86.0;0.1412344;0.08000138;0.1392825;0.0004742992;;110;90;267.4224;0.5122431359999999;161.0;4.0;157.42239999999998;89.487756864;161.0496817755316;181.07973561475723
11;uniteye;1;1;1699352475414;269.0;86.0;0.1401814;0.07993338;0.09500101;-0.0009538147;;110;90;182.4019392;-1.030119876;159.0;4.0;72.40193919999999;91.030119876;159.05030650709227;116.31218132491293
11;uniteye;1;1;1699352475448;268.0;86.0;0.1400818;0.07991158;0.1160486;-0.000296916;;110;90;222.813312;-0.32066928;158.0;4.0;112.813312;90.32066928;158.05062480104277;144.5152817649278
11;uniteye;1;1;1699352475482;268.0;86.0;0.1399656;0.07986542;0.1174648;0.0001773739;;110;90;225.53241599999998;0.191563812;158.0;4.0;115.53241599999998;89.808436188;158.05062480104277;146.3328205063072
11;uniteye;1;1;1699352475514;270.0;85.0;0.140966;0.07899968;0.1642779;0.02581859;;110;90;315.413568;27.8840772;160.0;5.0;205.413568;62.1159228;160.0781059358212;214.5999109594088
11;uniteye;1;1;1699352475548;309.0;131.0;0.1614344;0.1222026;0.2787322;0.3072131;;110;90;535.1658239999999;331.79014800000004;199.0;41.0;425.16582399999993;241.79014800000004;203.17972339778396;489.109858383023
11;uniteye;1;1;1699352475581;392.0;226.0;0.2044738;0.2098012;0.363123;0.4238202;;110;90;697.19616;457.72581599999995;282.0;136.0;587.19616;367.72581599999995;313.0814590485997;692.8359156911623
11;uniteye;1;1;1699352475614;486.0;257.0;0.2535309;0.2386555;0.3316359;0.2887044;;110;90;636.7409279999999;311.80075200000005;376.0;167.0;526.7409279999999;221.80075200000005;411.41827864109297;571.5344073790017
11;uniteye;1;1;1699352475649;469.0;256.0;0.2444466;0.2375883;0.1527458;0.1619124;;110;90;293.271936;174.865392;359.0;166.0;183.27193599999998;84.86539200000001;395.5211751600665;201.96716882825723
11;uniteye;1;1;1699352475681;462.0;216.0;0.2408981;0.2005627;0.1683864;0.001126304;;110;90;323.30188799999996;1.21640832;352.0;126.0;213.30188799999996;88.78359168;373.87163572541846;231.04160139673004
11;uniteye;1;1;1699352475714;449.0;187.0;0.2339227;0.173945;0.1478438;0.0009307657;;110;90;283.860096;1.005226956;339.0;97.0;173.860096;88.994773044;352.60459441136044;195.31360067922122
11;uniteye;1;1;1699352475748;437.0;166.0;0.2276295;0.1543984;0.1379716;0.0006284884;;110;90;264.905472;0.678767472;327.0;76.0;154.90547199999997;89.321232528;335.7156534926544;178.81271720955368
11;uniteye;1;1;1699352475780;416.0;151.0;0.2170169;0.1401748;0.1341165;0.0005783321;;110;90;257.50368;0.624598668;306.0;61.0;147.50367999999997;89.375401332;312.0208326378224;172.46825208367613
11;uniteye;1;1;1699352475814;405.0;139.0;0.211353;0.1290976;0.1358329;0.0004244451;;110;90;260.799168;0.458400708;295.0;49.0;150.799168;89.541599292;299.04180309782777;175.37983656413107
11;uniteye;1;1;1699352475848;396.0;130.0;0.2066115;0.1206984;0.1259669;8.114606e-05;;110;90;241.856448;0.0876377448;286.0;40.0;131.856448;89.9123622552;288.7836560472216;159.59434753614244
11;uniteye;1;1;1699352475881;377.0;123.0;0.1967527;0.1141471;0.0929939;-0.0009972161;;110;90;178.548288;-1.076993388;267.0;33.0;68.54828800000001;91.076993388;269.0315966573443;113.99072994032778
11;uniteye;1;1;1699352475914;372.0;117.0;0.1938483;0.1091466;0.1321164;0.000395019;;110;90;253.663488;0.42662052;262.0;27.0;143.663488;89.57337948;263.38754716197195;169.30028970971736
