participant;condition;order;event;target_x;target_y;mean_x;mean_y;dist_x;dist_y;euclidean;sd_x;sd_y;rmss2s;lux
10;tobii;0;1;110;90;107.26261344;56.427643935;12.909590399999995;33.572356065;36.52771226642583;14.67625971185397;9.764384716193018;62.15631935687245;520
10;tobii;0;2;960;140;972.4436416;138.54779986499997;12.6383376;9.265222268333332;17.54215001899986;7.086793142561944;11.231339883321098;68.01390369948714;520
10;tobii;0;3;1810;90;1780.0214624;103.984986645;30.04922826666668;14.041250655;34.26727592112126;9.918404380953898;6.4784366050901205;72.55047368211973;520
10;tobii;0;4;510;340;519.0525448;320.73420195;12.994771999999996;19.33239275;26.029599243539128;12.984787364296702;11.426325311396134;75.6808984401308;520
10;tobii;0;5;1410;340;1418.9333416;326.7051885;9.056418400000004;13.360879333333326;16.924362449057046;4.481370614350278;6.321749242390904;58.97278564621452;520
10;tobii;0;6;960;540;970.4361752;512.98834545;11.556341600000003;27.11406645;31.087343071940804;10.671153303395815;11.411197986748856;127.3311765575255;520
10;tobii;0;7;510;740;501.4526224;696.7941507;9.912815999999996;43.2058493;44.81235134266964;8.520416270394149;13.577889363402525;150.07117014900248;520
10;tobii;0;8;1410;740;1417.1756984;720.5151312;8.461301599999997;19.781270733333333;22.70289729189059;7.82917227093116;9.429579381186684;114.09759083104689;520
10;tobii;0;9;110;990;120.69256992;972.0167391;13.358144799999998;17.9832609;24.162829457229176;13.588253158745102;7.018697701298894;122.97872901251527;520
10;tobii;0;10;960;940;991.9411776;914.62965615;31.9411776;25.37034385;42.12261278874556;13.79533368944212;7.704636664505567;141.85991076831613;520
10;tobii;0;11;1810;990;1789.827112;981.4905477;25.121437866666664;13.461648299999998;31.72089348696488;127.52969429937542;19.18350387338577;265.76280202621456;520
10;tobii;1;1;110;90;137.17831408;101.7838872;27.17831408;14.94770229;32.22477235438888;10.57680374577703;16.699358592307945;77.86170057597569;560
10;tobii;1;2;960;140;958.1842792;142.229601;3.2290216000000007;4.456474699999999;6.026758303084091;3.3994803879274484;5.157756131828315;49.65182650749414;560
10;tobii;1;3;1810;90;1764.9514384;105.864843915;45.04856160000001;16.233904515;48.82292072148924;7.601375731622307;9.711107981853608;47.75953498410105;560
10;tobii;1;4;510;340;499.78959920000005;322.3159506;10.232288799999994;17.684049399999996;21.15167262865236;4.255401617612633;7.403211789540027;61.1686559441547;560
10;tobii;1;5;1410;340;1388.33742;325.56736170000005;21.66258000000001;14.449849633333322;26.93545595576838;7.810383070626941;5.276747432084096;57.09702828360972;560
10;tobii;1;6;960;540;957.137284;515.01088125;4.437797600000008;25.09054875;25.83141903001613;4.685817776630419;10.11113628018064;89.48467178355213;560
10;tobii;1;7;510;740;502.73302;697.8778001999999;8.969136799999994;42.1221998;43.45603180667353;7.835068602733026;8.543379310758567;107.88543290832158;560
10;tobii;1;8;1410;740;1405.238064;715.1904828;7.364596799999997;24.8095172;26.514183107907723;7.66085479768873;6.938870604944686;88.5398823536614;560
10;tobii;1;9;110;990;123.79539271999998;981.91204065;15.46872664;9.401880149999997;18.99702459370681;12.729742781729952;7.6380617514555;117.27194125702287;560
10;tobii;1;10;960;940;964.239552;914.6060037;11.6244304;25.393996300000005;29.831275789347647;16.151735665241482;6.769932755661369;133.1723383961461;560
10;tobii;1;11;1810;990;1775.1572440000002;972.7546176;34.842755999999994;17.3662776;40.20287074767643;9.676282539493114;9.791815171859396;103.99316479682588;560
10;uniteye;0;1;110;90;349.39128145454544;-21.37469926909091;239.39128145454544;112.20897439636364;267.3749497190024;13.30311857338036;49.872147189859454;461.4483888812605;555
10;uniteye;0;2;960;140;989.2681512727272;63.76797996381818;50.76367999999999;79.78698476345453;104.94609859361483;61.2609891067348;55.9504695203438;800.5515486755702;555
10;uniteye;0;3;1810;90;1751.748925090909;95.82945905454544;67.38455175757576;34.96152261818182;82.43594506420699;55.93638421769594;45.60295466933544;623.7551037328152;555
10;uniteye;0;4;510;340;372.6768436363637;260.57601818181814;137.32315636363634;79.61388460606061;162.94125139367793;35.53005372320615;32.35238301706627;493.716391726779;555
10;uniteye;0;5;1410;340;1442.4318865454543;406.18228254545454;55.21696290909088;83.1252993939394;106.25951823232022;59.512638715192594;70.23172431593105;918.7623017575733;555
10;uniteye;0;6;960;540;958.4413410909092;396.5364147272728;39.17930181818184;143.46358527272727;152.22447354213554;49.33710782498452;38.820380091220976;573.7463519313892;555
10;uniteye;0;7;510;740;430.6023650909091;659.1418232727274;82.127584;84.87592969696969;125.329719061375;51.24392682740397;53.34157505354156;794.4724120826733;555
10;uniteye;0;8;1410;740;1407.999170909091;696.6339267272728;51.94394472727271;54.826932060606055;83.83137446584627;66.27754550796476;50.80856519290703;739.9876338125256;555
10;uniteye;0;9;110;990;260.5741672727272;851.8820874545454;150.5741672727273;138.11791254545457;208.3528755825573;20.052143663612;46.9473871228079;485.7282636228186;555
10;uniteye;0;10;960;940;1067.9027083636363;824.852817818182;109.28834327272727;115.14718218181818;167.39596172916768;59.15063411076092;47.69404366061189;750.1921117660594;555
10;uniteye;0;11;1810;990;1777.065029818182;979.4683243636364;64.08974351515153;51.37121672727272;87.21862874344085;73.96396875802067;65.22520215658292;928.2503607685084;555
10;uniteye;1;1;110;90;239.5581024;285.14586436363635;129.5581024;195.14586436363635;239.80339656862543;31.29729064386824;63.36654858941184;570.8385956455171;523
10;uniteye;1;2;960;140;1159.721809454545;295.35835090909086;199.72180945454548;155.61131078787878;260.124936518574;72.82539953246766;66.91896665189148;935.8433324783596;523
