participant;condition;order;event;timestamp;x_filtered;y_filtered;x_filtered_norm;y_filtered_norm;x_raw_norm;y_raw_norm;AOI;x_target;y_target;x_raw;y_raw;x_filtered_distance;y_filtered_distance;x_raw_distance;y_raw_distance;filtered_euclidean;raw_euclidean
9;uniteye;0;1;1699341950638;332.0;666.0;0.1732896;0.617253;0.1578501;0.5477546;;110;90;303.072192;591.574968;222.0;576.0;193.07219199999997;501.574968;617.3005750847799;537.4516907107892
9;uniteye;0;1;1699341950668;332.0;665.0;0.1732249;0.615992;0.1543508;0.5762774;;110;90;296.353536;622.379592;222.0;575.0;186.35353600000002;532.379592;616.3675851308211;564.0528967728025
9;uniteye;0;1;1699341950702;332.0;663.0;0.1730856;0.6140398;0.1569094;0.5458222;;110;90;301.266048;589.487976;222.0;573.0;191.266048;499.487976;614.5022375874639;534.8559986446023
9;uniteye;0;1;1699341950733;332.0;662.0;0.1730275;0.6137652;0.1551644;0.6100477;;110;90;297.91564800000003;658.851516;222.0;572.0;187.91564800000003;568.851516;613.5698819205519;599.0862525703274
9;uniteye;0;1;1699341950769;331.0;662.0;0.172744;0.6130764;0.1470335;0.5662771;;110;90;282.30432;611.579268;221.0;572.0;172.30432000000002;521.579268;613.2087735836792;549.3029323588927
9;uniteye;0;1;1699341950803;331.0;661.0;0.1725042;0.6124773;0.1519716;0.6016116;;110;90;291.785472;649.740528;221.0;571.0;181.78547200000003;559.740528;612.2760815187868;588.5196823522401
9;uniteye;0;1;1699341950833;330.0;661.0;0.172322;0.6122544;0.1472738;0.5982364;;110;90;282.76569600000005;646.095312;220.0;571.0;172.76569600000005;556.095312;611.9158438870495;582.3143324208514
9;uniteye;0;1;1699341950867;330.0;660.0;0.1721569;0.6118913;0.152724;0.5761603;;110;90;293.23008;622.253124;220.0;570.0;183.23008;532.253124;610.9828148156051;562.9090958801125
9;uniteye;0;1;1699341950901;330.0;659.0;0.1721294;0.6107978;0.1518142;0.558388;;110;90;291.483264;603.05904;220.0;569.0;181.48326400000002;513.05904;610.0499979509876;544.2111296526517
9;uniteye;0;1;1699341950934;330.0;659.0;0.1720591;0.6105875;0.151176;0.5969844;;110;90;290.25792;644.743152;220.0;569.0;180.25792;554.743152;610.0499979509876;583.2948503232491
9;uniteye;0;1;1699341950968;330.0;659.0;0.171885;0.6105818;0.157333;0.5872117;;110;90;302.07936;634.188636;220.0;569.0;192.07936;544.188636;610.0499979509876;577.0924987292333
9;uniteye;0;1;1699341951002;329.0;655.0;0.1718193;0.6065471;0.154415;0.5384383;;110;90;296.47679999999997;581.513364;219.0;565.0;186.47679999999997;491.513364;605.9587444702815;525.698567554484
9;uniteye;0;1;1699341951033;329.0;653.0;0.1717474;0.6049034;0.1558938;0.599736;;110;90;299.316096;647.71488;219.0;563.0;189.31609600000002;557.71488;604.0943634896787;588.9706882163964
9;uniteye;0;1;1699341951067;329.0;653.0;0.1716212;0.6047215;0.159157;0.5879573;;110;90;305.58144;634.993884;219.0;563.0;195.58144;544.993884;604.0943634896787;579.0254167736326
9;uniteye;0;1;1699341951101;329.0;652.0;0.1715425;0.6043435;0.1510795;0.5794125;;110;90;290.07264000000004;625.7655;219.0;562.0;180.07264000000004;535.7655;603.1624988342694;565.2175038574262
9;uniteye;0;1;1699341951134;329.0;652.0;0.1714704;0.6041723;0.1545852;0.5987384;;110;90;296.803584;646.637472;219.0;562.0;186.803584;556.637472;603.1624988342694;587.1463652529885
9;uniteye;0;1;1699341951168;329.0;654.0;0.1713662;0.6057279;0.1549837;0.6471016;;110;90;297.568704;698.869728;219.0;564.0;187.56870400000003;608.869728;605.0264457029957;637.1062426275806
9;uniteye;0;1;1699341951201;328.0;655.0;0.1712169;0.6074061;0.1508676;0.6099498;;110;90;289.665792;658.745784;218.0;565.0;179.665792;568.745784;605.59805151602;596.4491291239865
9;uniteye;0;1;1699341951233;328.0;656.0;0.1710713;0.6074743;0.1578175;0.6121545;;110;90;303.0096;661.1268600000001;218.0;566.0;193.00959999999998;571.1268600000001;606.5311203887234;602.8586865141943
9;uniteye;0;1;1699341951267;328.0;655.0;0.17102;0.6070629;0.1533889;0.5693572;;110;90;294.506688;614.9057760000001;218.0;565.0;184.506688;524.9057760000001;605.59805151602;556.389064949062
9;uniteye;0;1;1699341951301;328.0;651.0;0.1709154;0.6036115;0.1578412;0.5745511;;110;90;303.055104;620.515188;218.0;561.0;193.05510399999997;530.515188;601.8679257112809;564.5499427677998
9;uniteye;0;1;1699341951334;327.0;651.0;0.1706626;0.6034875;0.1465643;0.5832395;;110;90;281.403456;629.8986600000001;217.0;561.0;171.403456;539.8986600000001;601.5064421932653;566.4536236961854
9;uniteye;0;1;1699341951372;327.0;654.0;0.1706039;0.6061657;0.1517935;0.6367919;;110;90;291.44352;687.735252;217.0;564.0;181.44351999999998;597.735252;604.3053863734792;624.6672573726703
9;uniteye;0;1;1699341951402;327.0;654.0;0.1705935;0.6058452;0.1538065;0.5924689;;110;90;295.30848000000003;639.866412;217.0;564.0;185.30848000000003;549.866412;604.3053863734792;580.2519313243723
9;uniteye;0;1;1699341951435;327.0;654.0;0.1705126;0.6059064;0.1512184;0.6123932;;110;90;290.339328;661.384656;217.0;564.0;180.33932800000002;571.384656;604.3053863734792;599.1683388962821
9;uniteye;0;1;1699341951467;327.0;654.0;0.1704628;0.605902;0.1511793;0.6004084;;110;90;290.264256;648.441072;217.0;564.0;180.264256;558.441072;604.3053863734792;586.8148199285212
9;uniteye;0;1;1699341951501;327.0;654.0;0.1703183;0.6057448;0.1492817;0.5872819;;110;90;286.620864;634.264452;217.0;564.0;176.62086399999998;544.264452;604.3053863734792;572.2051409337099
9;uniteye;0;1;1699341951535;326.0;653.0;0.1702299;0.6047731;0.1513334;0.5909342;;110;90;290.560128;638.208936;216.0;563.0;180.56012800000002;548.208936;603.0132668523969;577.1784796175516
